entrega_id,task_id,status,retry,duration_s
54,db431129-f1cd-43fb-869e-985442429b5c,PENDING_SYSTEM_CONFIRMATION,0,1.3589015009999912
54,73d43c61-7f17-458b-8801-d29ae517a1b4,ENTREGADA,1,0.44393116700001656
55,21b9ad31-cb3b-420c-baec-455212456b3c,PENDING_SYSTEM_CONFIRMATION,0,2.7056753350000236
55,7643699f-31cc-44f3-a7e8-3011707a443b,ENTREGADA,1,0.6703682079998998
56,fa352c21-4197-466f-8f19-e468d9d41e7c,PENDING_SYSTEM_CONFIRMATION,0,2.1066140010000254
56,21402cf1-ba37-4394-9d8b-b8ac212248d5,ENTREGADA,1,0.9065057919999617
57,bfda1ebe-7aba-4402-b736-c5a88b402e6f,ENTREGADA,0,0.11417229200014845
58,17d2e74a-6856-4c35-a016-5ca1c399c055,ENTREGADA,0,1.4746958759999416
59,7511e1a9-0324-4c49-815a-88b8b29affe3,PENDING_SYSTEM_CONFIRMATION,0,1.453323624999939
59,1cb18d2f-147c-46ee-bf4d-9d65a694edac,ENTREGADA,1,1.6654632929999025
60,862af317-5086-4658-951e-090a8fb9faad,ENTREGADA,0,1.5133588339999733
61,b7e56bc8-1ea6-41b0-ac2a-609ed0c0660b,PENDING_SYSTEM_CONFIRMATION,0,1.6991361259999849
61,8f0d5817-4a36-438a-93f3-ac54c5431fb6,ENTREGADA,1,1.1231475839999803
62,c3a12e71-e4f5-45d4-961d-dc40ec55e013,ENTREGADA,0,0.3781546249999792
63,17fab81a-53b0-471b-9d7f-c60df755b291,ENTREGADA,0,0.974451917000124
64,11359a8c-9cda-46fc-8709-c7a0e7cc4839,PENDING_SYSTEM_CONFIRMATION,0,2.1832251680000354
64,b06ce802-e487-477d-9215-8cf2db05a636,ENTREGADA,1,1.1307777499998792
65,f2c3c2c7-9bfa-452c-a749-f138e69017cc,ENTREGADA,0,1.4776155009999457
66,7ad3e2a7-36ea-43e4-b909-c03a65cc9fa0,PENDING_SYSTEM_CONFIRMATION,0,1.4703096670000377
66,7a2ada96-24fb-4ab9-9b4b-2fc6cd366b68,ENTREGADA,1,1.4390451669999038
67,11eb8a57-fde8-4990-89a7-cbc37d4fd767,ENTREGADA,0,0.6076374169999781
68,18b1a979-8143-4950-a86f-e76414f8a3ca,PENDING_SYSTEM_CONFIRMATION,0,1.6448113339999964
68,b6cb7954-6801-4f74-9bd4-321635f1972f,ENTREGADA,1,0.3156682080000337
